ResourceID,Title,Virtual Tours Zip File
23fd43a5-acdc-41bd-0000-7b7728417493,Paiute Rocks - Virtual Tour,Paiute Rocks Panotour.zip
23fd43a5-acdc-41bd-0001-7b7728417493,Crescent City - Virtual Tour,Crescent City Panotour.zip
23fd43a5-acdc-41bd-0002-7b7728417493,Red Pigment Canyon - Virtual Tour,Red Pigment Canyon Panotour.zip
