ResourceID,Title,Description,Cloud Storage URL
23fd43a5-acdc-41bd-0000-7b7728417493,Paiute Rocks - Virtual Tour,Explore the Paiute Rocks site through panoramic photos.,https://lcai-assets.s3.us-west-2.amazonaws.com/panotours/PaiuteRocks/Paiute+Rocks+Panotour.html
23fd43a5-acdc-41bd-0001-7b7728417493,Crescent City - Virtual Tour,Explore the Crescent City site through panoramic photos.,https://lcai-assets.s3.us-west-2.amazonaws.com/panotours/CrescentCity/Crescent+City+Panotour.html
23fd43a5-acdc-41bd-0002-7b7728417493,Red Pigment Canyon - Virtual Tour,Explore Red Pigment Canyon through panoramic photos.,https://lcai-assets.s3.us-west-2.amazonaws.com/panotours/RedPigmentCanyon/Red+Pigment+Canyon+Panotour.html
